Nthreads, Throughput , Runtime(secs), 1st/2nd

1 , 339.04 , 1st
1 , 339.06 , 2nd
2 , 678.24 , 1st
2 , 677.47 , 2nd
4 , 1356.70 , 1st
4 , 1354.72 , 2nd
8 , 2707.11 , 1st
8 , 2707.59 , 2nd
16 , 5415.32 , 1st
16 , 5421.43 , 2nd
32 , 10764.86 , 1st
32 , 10768.41 , 2nd
64 , 7529.65 , 1st
64 , 7440.05 , 2nd
